taxon
Cephalopholis cruentata
Hypoplectrus gemma
Hypoplectrus nigricans
Hypoplectrus puella
Hypoplectrus unicolor
Serranus tigrinus
Serranus tortugarum
Pomacanthus arcuatus
Microspathodon chrysurus
Stegastes adustus
Stegastes planifrons
Holacanthus ciliaris
Stegastes diencaeus
Abudefduf saxatilis
Chaetodon striatus
Stegastes partitus
Prognathodes aculeatus
Chaetodon ocellatus
Chaetodon capistratus
Haemulon parra
Haemulon macrostomum
Haemulon flavolineatum
Haemulon plumierii
Haemulon aurolineatum
Haemulon carbonarium
Lutjanus cyanopterus
Lutjanus synagris
Haemulon steindachneri
Anisotremus virginicus
Lutjanus griseus
Lutjanus apodus
Lutjanus analis
Lutjanus jocu
Halichoeres bivittatus
Bodianus rufus
Ocyurus chrysurus
Halichoeres pictus
Halichoeres maculipinna
Halichoeres poeyi
Thalassoma bifasciatum
Acanthurus coeruleus
Acanthurus bahianus
Acanthurus chirurgus
Scarus iseri
Sparisoma aurofrenatum
Sparisoma viride
Scarus trispinosus
Sparisoma rubripinne
Sparisoma radians
Sparisoma chrysopterum
Coryphopterus glaucofraenum
Coryphopterus personatus
Coryphopterus eidolon
Microgobius microlepis
Microgobius meeki
Microgobius signatus
Elacatinus illecebrosus
Gnatholepis thompsoni
Lophogobius cyprinoides
Tigrigobius saucrus
Calamus pennatula
Parablennius marmoreus
Ophioblennius atlanticus
Hypleurochilus geminatus
Paraclinus nigripinnis
Caranx crysos
Caranx latus
Caranx bartholomaei
Carangoides ruber
Oligoplites saurus
Eucinostomus melanopterus
Gerres cinereus
Chloroscombrus chrysurus
Archosargus rhomboidalis
Calamus bajonado
Scomberomorus regalis
Chaetodipterus faber
Sphyraena barracuda
Echeneis neucratoides
Pseudupeneus maculatus
Centropomus undecimalis
Opistognathus aurifrons
Scomberomorus maculatus
Odontoscion dentex
Chilomycterus antennatus
Diodon hystrix
Monacanthus tuckeri
Cantherhines pullus
Holocentrus adscensionis
Acanthostracion quadricornis
Canthigaster rostrata
Sphoeroides spengleri
Ablennes hians
Platybelone argalus
Amphichthys cryptocentrus
Jenkinsia lamprotaenia
Pterois volitans
Aulostomus maculatus
