id,name,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
1,Cephalopholis cruentata,279146,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279146,Cephalopholis cruentata,"(Lacepède, 1802)",accepted,NA,220,Species,279146,Cephalopholis cruentata,"(Lacepède, 1802)",206732,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Cephalopholis,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Cephalopholis cruentata (Lacepède, 1802). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279146 on 2023-01-19",urn:lsid:marinespecies.org:taxname:279146,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
2,Hypoplectrus gemma,281114,https://www.marinespecies.org/aphia.php?p=taxdetails&id=281114,Hypoplectrus gemma,"Goode & Bean, 1882",accepted,NA,220,Species,281114,Hypoplectrus gemma,"Goode & Bean, 1882",269456,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Hypoplectrus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Hypoplectrus gemma Goode & Bean, 1882. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=281114 on 2023-01-19",urn:lsid:marinespecies.org:taxname:281114,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
3,Hypoplectrus nigricans,281118,https://www.marinespecies.org/aphia.php?p=taxdetails&id=281118,Hypoplectrus nigricans,"(Poey, 1852)",accepted,NA,220,Species,281118,Hypoplectrus nigricans,"(Poey, 1852)",269456,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Hypoplectrus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Hypoplectrus nigricans (Poey, 1852). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=281118 on 2023-01-19",urn:lsid:marinespecies.org:taxname:281118,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
4,Hypoplectrus puella,281120,https://www.marinespecies.org/aphia.php?p=taxdetails&id=281120,Hypoplectrus puella,"(Cuvier, 1828)",accepted,NA,220,Species,281120,Hypoplectrus puella,"(Cuvier, 1828)",269456,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Hypoplectrus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Hypoplectrus puella (Cuvier, 1828). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=281120 on 2023-01-19",urn:lsid:marinespecies.org:taxname:281120,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
5,Hypoplectrus unicolor,281121,https://www.marinespecies.org/aphia.php?p=taxdetails&id=281121,Hypoplectrus unicolor,"(Walbaum, 1792)",accepted,NA,220,Species,281121,Hypoplectrus unicolor,"(Walbaum, 1792)",269456,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Hypoplectrus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Hypoplectrus unicolor (Walbaum, 1792). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=281121 on 2023-01-19",urn:lsid:marinespecies.org:taxname:281121,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
6,Serranus tigrinus,273909,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273909,Serranus tigrinus,"(Bloch, 1790)",accepted,NA,220,Species,273909,Serranus tigrinus,"(Bloch, 1790)",126070,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Serranus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Serranus tigrinus (Bloch, 1790). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273909 on 2023-01-19",urn:lsid:marinespecies.org:taxname:273909,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
7,Serranus tortugarum,273910,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273910,Serranus tortugarum,"Longley, 1935",accepted,NA,220,Species,273910,Serranus tortugarum,"Longley, 1935",126070,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Serranus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Serranus tortugarum Longley, 1935. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273910 on 2023-01-19",urn:lsid:marinespecies.org:taxname:273910,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
8,Pomacanthus arcuatus,159287,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159287,Pomacanthus arcuatus,"(Linnaeus, 1758)",accepted,NA,220,Species,159287,Pomacanthus arcuatus,"(Linnaeus, 1758)",159286,Animalia,Chordata,Teleostei,Acanthuriformes,Pomacanthidae,Pomacanthus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Pomacanthus arcuatus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=159287 on 2023-01-19",urn:lsid:marinespecies.org:taxname:159287,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
9,Microspathodon chrysurus,281571,https://www.marinespecies.org/aphia.php?p=taxdetails&id=281571,Microspathodon chrysurus,"(Cuvier, 1830)",accepted,NA,220,Species,281571,Microspathodon chrysurus,"(Cuvier, 1830)",269877,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Microspathodon,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Microspathodon chrysurus (Cuvier, 1830). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=281571 on 2023-01-19",urn:lsid:marinespecies.org:taxname:281571,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
10,Stegastes adustus,276659,https://www.marinespecies.org/aphia.php?p=taxdetails&id=276659,Stegastes adustus,"(Troschel, 1865)",accepted,NA,220,Species,276659,Stegastes adustus,"(Troschel, 1865)",203822,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Stegastes,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Stegastes adustus (Troschel, 1865). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=276659 on 2023-01-19",urn:lsid:marinespecies.org:taxname:276659,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
