taxon
Alphestes immaculatus
Cephalopholis panamensis
Chromis atrilobata
Epinephelus labriformis
Paranthias colonus
Stegastes acapulcoensis
Stegastes flavilatus
Serranus psittacinus
Abudefduf troschelii
Microspathodon dorsalis
Haemulon sexfasciatum
Haemulon steindachneri
Hoplopagrus guentherii
Haemulon maculicauda
Lutjanus guttatus
Kyphosus analogus
Sectator ocyurus
Lutjanus novemfasciatus
Kyphosus elegans
Lutjanus viridis
Lutjanus argentiventris
Chaetodon humeralis
Johnrandallia nigrirostris
Scarus rubroviolaceus
Halichoeres chierchiae
Novaculichthys taeniourus
Stethojulis bandanensis
Acanthurus nigricans
Malacoctenus ebisui
Mccoskerichthys sandae
Halichoeres dispilus
Thalassoma lucasanum
Acanthurus triostegus
Scarus ghobban
Ophioblennius steindachneri
Halichoeres melanotis
Thalassoma grammaticum
Acanthurus xanthopterus
Ctenochaetus marginatus
Scarus compressus
Plagiotremus azaleus
Halichoeres nicholsi
Iniistius pavo
Prionurus laticlavius
Canthigaster punctatissima
Pseudobalistes naufragium
Sufflamen verres
Myripristis berndti
Mulloidichthys dentatus
Fistularia commersonii
Bodianus diplotaenia
Cirrhitichthys oxycephalus
Myripristis leiognathus
Apogon dovii
Arothron hispidus
Arothron Meleagris
Apogon pacificus
Sargocentron suborbitalis
Coryphopterus urospilus
Synodus lacertinus
Diodon holocanthus
Diodon hystrix
Apogon retrosella
Holacanthus passer
Zanclus cornutus
Scorpaena mystes
Caranx melampygus
Trachinotus rhodopus
Echidna nebulosa
Gymnomuraena zebra
Gymnothorax panamensis
Gymnothorax undulatus
Gymnothorax castaneus
Gymnothorax flavimarginatus
