id,name,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
1,Alphestes immaculatus,279568,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279568,Alphestes immaculatus,"Breder, 1936",accepted,NA,220,Species,279568,Alphestes immaculatus,"Breder, 1936",268269,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Alphestes,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Alphestes immaculatus Breder, 1936. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279568 on 2023-01-20",urn:lsid:marinespecies.org:taxname:279568,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
2,Cephalopholis panamensis,279152,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279152,Cephalopholis panamensis,"(Steindachner, 1876)",accepted,NA,220,Species,279152,Cephalopholis panamensis,"(Steindachner, 1876)",206732,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Cephalopholis,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Cephalopholis panamensis (Steindachner, 1876). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279152 on 2023-01-20",urn:lsid:marinespecies.org:taxname:279152,1,0,0,0,NA,exact,2017-10-25T05:47:25.293Z
3,Chromis atrilobata,273712,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273712,Chromis atrilobata,"Gill, 1862",unaccepted,NA,220,Species,1580692,Azurina atrilobata,"(Gill, 1862)",126045,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Chromis,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Chromis atrilobata Gill, 1862. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273712 on 2023-01-20",urn:lsid:marinespecies.org:taxname:273712,1,0,0,0,NA,exact,2023-01-11T08:59:53.383Z
4,Epinephelus labriformis,273858,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273858,Epinephelus labriformis,"(Jenyns, 1840)",accepted,NA,220,Species,273858,Epinephelus labriformis,"(Jenyns, 1840)",126068,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Epinephelus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Epinephelus labriformis (Jenyns, 1840). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273858 on 2023-01-20",urn:lsid:marinespecies.org:taxname:273858,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
5,Paranthias colonus,282083,https://www.marinespecies.org/aphia.php?p=taxdetails&id=282083,Paranthias colonus,"(Valenciennes, 1846)",accepted,NA,220,Species,282083,Paranthias colonus,"(Valenciennes, 1846)",270239,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Paranthias,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Paranthias colonus (Valenciennes, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=282083 on 2023-01-20",urn:lsid:marinespecies.org:taxname:282083,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
6,Stegastes acapulcoensis,276658,https://www.marinespecies.org/aphia.php?p=taxdetails&id=276658,Stegastes acapulcoensis,"(Fowler, 1944)",accepted,NA,220,Species,276658,Stegastes acapulcoensis,"(Fowler, 1944)",203822,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Stegastes,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Stegastes acapulcoensis (Fowler, 1944). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=276658 on 2023-01-20",urn:lsid:marinespecies.org:taxname:276658,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
7,Stegastes flavilatus,276668,https://www.marinespecies.org/aphia.php?p=taxdetails&id=276668,Stegastes flavilatus,"(Gill, 1862)",accepted,NA,220,Species,276668,Stegastes flavilatus,"(Gill, 1862)",203822,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Stegastes,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Stegastes flavilatus (Gill, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=276668 on 2023-01-20",urn:lsid:marinespecies.org:taxname:276668,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
8,Serranus psittacinus,273904,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273904,Serranus psittacinus,"Valenciennes, 1846",accepted,NA,220,Species,273904,Serranus psittacinus,"Valenciennes, 1846",126070,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Serranus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Serranus psittacinus Valenciennes, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273904 on 2023-01-20",urn:lsid:marinespecies.org:taxname:273904,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
9,Abudefduf troschelii,273702,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273702,Abudefduf troschelii,"(Gill, 1862)",accepted,NA,220,Species,273702,Abudefduf troschelii,"(Gill, 1862)",126044,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Abudefduf,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Abudefduf troschelii (Gill, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273702 on 2023-01-20",urn:lsid:marinespecies.org:taxname:273702,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
10,Microspathodon dorsalis,281572,https://www.marinespecies.org/aphia.php?p=taxdetails&id=281572,Microspathodon dorsalis,"(Gill, 1862)",accepted,NA,220,Species,281572,Microspathodon dorsalis,"(Gill, 1862)",269877,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Microspathodon,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Microspathodon dorsalis (Gill, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=281572 on 2023-01-20",urn:lsid:marinespecies.org:taxname:281572,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
