name,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
Pocillopora capitata,289246,https://www.marinespecies.org/aphia.php?p=taxdetails&id=289246,Pocillopora capitata,"Verrill, 1864",accepted,NA,220,Species,289246,Pocillopora capitata,"Verrill, 1864",206938,Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Pocillopora capitata Verrill, 1864. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=289246 on 2023-01-18",urn:lsid:marinespecies.org:taxname:289246,1,NA,0,0,NA,exact,2022-12-30T10:18:02.270Z
Pocillopora damicornis,206953,https://www.marinespecies.org/aphia.php?p=taxdetails&id=206953,Pocillopora damicornis,"(Linnaeus, 1758)",accepted,NA,220,Species,206953,Pocillopora damicornis,"(Linnaeus, 1758)",206938,Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Pocillopora damicornis (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=206953 on 2023-01-18",urn:lsid:marinespecies.org:taxname:206953,1,NA,0,0,NA,exact,2022-05-10T10:52:12.250Z
Pocillopora elegans,206956,https://www.marinespecies.org/aphia.php?p=taxdetails&id=206956,Pocillopora elegans,"Dana, 1846",accepted,NA,220,Species,206956,Pocillopora elegans,"Dana, 1846",206938,Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Pocillopora elegans Dana, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=206956 on 2023-01-18",urn:lsid:marinespecies.org:taxname:206956,1,NA,0,0,NA,exact,2022-05-20T17:56:48.857Z
Pocillopora eydouxi,206958,https://www.marinespecies.org/aphia.php?p=taxdetails&id=206958,Pocillopora eydouxi,"Milne Edwards, 1860",junior subjective synonym,NA,220,Species,206952,Pocillopora grandis,"Dana, 1846",206938,Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Pocillopora eydouxi Milne Edwards, 1860. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=206958 on 2023-01-18",urn:lsid:marinespecies.org:taxname:206958,1,NA,0,0,NA,exact,2022-05-10T16:41:32.077Z
Pocillopora inflata ,289250,https://www.marinespecies.org/aphia.php?p=taxdetails&id=289250,Pocillopora inflata,"Glynn, 1999",accepted,NA,220,Species,289250,Pocillopora inflata,"Glynn, 1999",206938,Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Pocillopora inflata Glynn, 1999. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=289250 on 2023-01-18",urn:lsid:marinespecies.org:taxname:289250,1,NA,0,0,NA,exact,2022-12-30T10:18:02.270Z
Pocillopora meandrina ,206964,https://www.marinespecies.org/aphia.php?p=taxdetails&id=206964,Pocillopora meandrina,"Dana, 1846",accepted,NA,220,Species,206964,Pocillopora meandrina,"Dana, 1846",206938,Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Pocillopora meandrina Dana, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=206964 on 2023-01-18",urn:lsid:marinespecies.org:taxname:206964,1,NA,0,0,NA,exact,2022-05-20T17:56:48.857Z
Pocillopora verrucosa,206954,https://www.marinespecies.org/aphia.php?p=taxdetails&id=206954,Pocillopora verrucosa,"(Ellis & Solander, 1786)",accepted,NA,220,Species,206954,Pocillopora verrucosa,"(Ellis & Solander, 1786)",206938,Animalia,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Pocillopora verrucosa (Ellis & Solander, 1786). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=206954 on 2023-01-18",urn:lsid:marinespecies.org:taxname:206954,1,NA,0,0,NA,exact,2022-05-10T10:52:12.250Z
Millepora intricata,210727,https://www.marinespecies.org/aphia.php?p=taxdetails&id=210727,Millepora intricata,"Milne Edwards, 1860",accepted,NA,220,Species,210727,Millepora intricata,"Milne Edwards, 1860",205902,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,"Schuchert, P. (2023). World Hydrozoa Database. Millepora intricata Milne Edwards, 1860. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=210727 on 2023-01-18",urn:lsid:marinespecies.org:taxname:210727,1,NA,0,0,NA,exact,2013-07-16T06:14:24.863Z
Millepora platyphylla,210730,https://www.marinespecies.org/aphia.php?p=taxdetails&id=210730,Millepora platyphylla,"Hemprich & Ehrenberg, 1834",accepted,NA,220,Species,210730,Millepora platyphylla,"Hemprich & Ehrenberg, 1834",205902,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,"Schuchert, P. (2023). World Hydrozoa Database. Millepora platyphylla Hemprich & Ehrenberg, 1834. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=210730 on 2023-01-18",urn:lsid:marinespecies.org:taxname:210730,1,NA,0,0,NA,exact,2011-04-15T06:55:16.320Z
Porites sverdrupi,288916,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288916,Porites sverdrupi,"Durham, 1947",accepted,NA,220,Species,288916,Porites sverdrupi,"Durham, 1947",206485,Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Porites sverdrupi Durham, 1947. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=288916 on 2023-01-18",urn:lsid:marinespecies.org:taxname:288916,1,NA,0,0,NA,exact,2022-12-30T10:18:02.270Z
