id,name,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
1,Alphestes immaculatus,279568,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279568,Alphestes immaculatus,"Breder, 1936",accepted,NA,220,Species,279568,Alphestes immaculatus,"Breder, 1936",268269,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Alphestes,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Alphestes immaculatus Breder, 1936. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279568 on 2023-01-20",urn:lsid:marinespecies.org:taxname:279568,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
2,Alphestes multiguttatus,279569,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279569,Alphestes multiguttatus,"(Günther, 1867)",accepted,NA,220,Species,279569,Alphestes multiguttatus,"(Günther, 1867)",268269,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Alphestes,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Alphestes multiguttatus (Günther, 1867). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279569 on 2023-01-20",urn:lsid:marinespecies.org:taxname:279569,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
3,Bodianus diplotaenia,273527,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273527,Bodianus diplotaenia,"(Gill, 1862)",accepted,NA,220,Species,273527,Bodianus diplotaenia,"(Gill, 1862)",126017,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Bodianus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Bodianus diplotaenia (Gill, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273527 on 2023-01-20",urn:lsid:marinespecies.org:taxname:273527,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
4,Microspathodon bairdii,281570,https://www.marinespecies.org/aphia.php?p=taxdetails&id=281570,Microspathodon bairdii,"(Gill, 1862)",accepted,NA,220,Species,281570,Microspathodon bairdii,"(Gill, 1862)",269877,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Microspathodon,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Microspathodon bairdii (Gill, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=281570 on 2023-01-20",urn:lsid:marinespecies.org:taxname:281570,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
5,Stegastes acapulcoensis,276658,https://www.marinespecies.org/aphia.php?p=taxdetails&id=276658,Stegastes acapulcoensis,"(Fowler, 1944)",accepted,NA,220,Species,276658,Stegastes acapulcoensis,"(Fowler, 1944)",203822,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Stegastes,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Stegastes acapulcoensis (Fowler, 1944). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=276658 on 2023-01-20",urn:lsid:marinespecies.org:taxname:276658,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
6,Microspathodon dorsalis,281572,https://www.marinespecies.org/aphia.php?p=taxdetails&id=281572,Microspathodon dorsalis,"(Gill, 1862)",accepted,NA,220,Species,281572,Microspathodon dorsalis,"(Gill, 1862)",269877,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Microspathodon,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Microspathodon dorsalis (Gill, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=281572 on 2023-01-20",urn:lsid:marinespecies.org:taxname:281572,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
7,Holacanthus passer,276016,https://www.marinespecies.org/aphia.php?p=taxdetails&id=276016,Holacanthus passer,"Valenciennes, 1846",accepted,NA,220,Species,276016,Holacanthus passer,"Valenciennes, 1846",159282,Animalia,Chordata,Teleostei,Acanthuriformes,Pomacanthidae,Holacanthus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Holacanthus passer Valenciennes, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=276016 on 2023-01-20",urn:lsid:marinespecies.org:taxname:276016,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
8,Serranus psittacinus,273904,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273904,Serranus psittacinus,"Valenciennes, 1846",accepted,NA,220,Species,273904,Serranus psittacinus,"Valenciennes, 1846",126070,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Serranus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Serranus psittacinus Valenciennes, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273904 on 2023-01-20",urn:lsid:marinespecies.org:taxname:273904,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
9,Epinephelus labriformis,273858,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273858,Epinephelus labriformis,"(Jenyns, 1840)",accepted,NA,220,Species,273858,Epinephelus labriformis,"(Jenyns, 1840)",126068,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Epinephelus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Epinephelus labriformis (Jenyns, 1840). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273858 on 2023-01-20",urn:lsid:marinespecies.org:taxname:273858,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
10,Cephalopholis panamensis,279152,https://www.marinespecies.org/aphia.php?p=taxdetails&id=279152,Cephalopholis panamensis,"(Steindachner, 1876)",accepted,NA,220,Species,279152,Cephalopholis panamensis,"(Steindachner, 1876)",206732,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Cephalopholis,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Cephalopholis panamensis (Steindachner, 1876). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279152 on 2023-01-20",urn:lsid:marinespecies.org:taxname:279152,1,0,0,0,NA,exact,2017-10-25T05:47:25.293Z
